弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
每日合影,0分45秒,2023--04--05 22:27:41,普通弹幕,25,1e5fa73e
每日合影,0分45秒,2023--04--05 22:27:33,普通弹幕,25,1e5fa73e
故技重施,1分1秒,2023--04--05 21:37:24,顶部弹幕,25,2156e328
优美,0分52秒,2023--04--05 21:26:01,普通弹幕,25,d07bdacf
早 期 籽 岷 用 神 镐 挖 钻 石,1分18秒,2023--04--05 19:29:04,普通弹幕,25,41889519
一睹芳容,1分13秒,2023--04--05 19:07:48,普通弹幕,25,87eaa63d
抽风啦哈哈哈哈,1分23秒,2023--04--05 18:59:53,普通弹幕,25,9d0604f3
xswl,0分49秒,2023--04--05 18:21:15,普通弹幕,25,b8574c1e
！！！！！！,0分21秒,2023--04--05 15:59:37,普通弹幕,25,6f61edd4
秦王扫六合,1分3秒,2023--04--05 12:11:45,顶部弹幕,25,45d0f65d
牛奶  咖喱  土豆  豌豆  梨   西瓜   咸蛋,0分29秒,2023--04--05 10:53:26,顶部弹幕,25,a6714a02
牛奶  咖喱  土豆  豌豆  梨   西瓜   咸蛋,0分29秒,2023--04--05 10:53:22,顶部弹幕,25,a6714a02
牛奶  咖喱  土豆  豌豆  梨   西瓜   咸蛋,0分29秒,2023--04--05 10:53:17,顶部弹幕,25,a6714a02
恐龙妈妈提笔忘字买便宜土豆,0分16秒,2023--04--05 10:52:47,顶部弹幕,25,a6714a02
恐龙妈妈提笔忘字买便宜土豆,0分16秒,2023--04--05 10:52:42,顶部弹幕,25,a6714a02
恐龙妈妈提笔忘字买便宜土豆,0分16秒,2023--04--05 10:52:37,顶部弹幕,25,a6714a02
恐龙妈妈提笔忘字买便宜土豆,0分16秒,2023--04--05 10:52:32,顶部弹幕,25,a6714a02
恐龙妈妈提笔忘字买便宜土豆,0分16秒,2023--04--05 10:52:27,顶部弹幕,25,a6714a02
恐龙妈妈提笔忘字买便宜土豆,0分16秒,2023--04--05 10:52:20,顶部弹幕,25,a6714a02
截图选老婆,0分4秒,2023--04--05 09:49:30,普通弹幕,25,3e0ce593
请选择你的英雄,0分1秒,2023--04--05 09:48:57,普通弹幕,25,3e0ce593
恐龙妈妈提笔忘字~,0分14秒,2023--04--05 09:24:58,顶部弹幕,25,e8de0ed7
正常操作,0分10秒,2023--04--05 06:44:49,普通弹幕,25,6ce5ee95
宴请八方,0分51秒,2023--04--04 23:38:21,普通弹幕,25,82cb6c59
还是新宝岛最经典,0分29秒,2023--04--04 20:45:11,普通弹幕,25,af6175b5
黄磊来也！！！,1分0秒,2023--04--04 20:44:59,普通弹幕,25,7eaea29f
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1分9秒,2023--04--04 20:27:09,普通弹幕,25,eeaefcec
【神】,0分29秒,2023--04--04 20:00:01,普通弹幕,25,2e076010
脑浆摇匀,1分20秒,2023--04--04 17:30:33,顶部弹幕,25,50c3783c
秦王扫六和，龙卷风摧毁停车场！,0分51秒,2023--04--04 17:29:50,顶部弹幕,25,50c3783c
秦王扫六合,0分55秒,2023--04--04 17:10:31,普通弹幕,25,c3d68401
